event_id,timestamp,user_id,application,application_category,requests,data_uploaded_mb,device,location,approved,ground_truth
SAAS-00621,2025-06-01T16:16:55,user_038,DeepSeek,AI Assistant,61,19.38,Managed Windows Laptop,Hyderabad,False,1
SAAS-00547,2025-06-01T16:22:50,user_017,Microsoft 365,Productivity,71,15.79,Managed macOS Laptop,Bengaluru,True,0
SAAS-00538,2025-06-01T16:30:59,user_028,GitHub,Development,39,4.09,Managed Windows Laptop,Chennai,True,0
SAAS-00729,2025-06-01T17:15:54,user_047,Slack,Collaboration,52,5.05,Managed macOS Laptop,Pune,True,0
SAAS-00474,2025-06-01T17:40:00,user_022,GitHub,Development,38,3.53,Managed Windows Laptop,Hyderabad,True,0
SAAS-00955,2025-06-01T17:52:33,user_003,Jira,Project Management,88,7.21,Managed macOS Laptop,Pune,True,0
SAAS-00433,2025-06-01T17:54:36,user_026,Salesforce,CRM,51,17.13,Managed Windows Laptop,Hyderabad,True,0
SAAS-00682,2025-06-01T22:36:12,user_033,Slack,Collaboration,49,9.6,Managed macOS Laptop,Bengaluru,True,1
SAAS-00810,2025-06-02T02:46:05,user_041,Salesforce,CRM,25,6.0,Managed macOS Laptop,Bengaluru,True,1
SAAS-00853,2025-06-02T08:23:43,user_041,Dropbox,Storage,69,10.48,Managed macOS Laptop,Bengaluru,False,1
SAAS-00520,2025-06-02T08:24:54,user_036,Salesforce,CRM,74,4.44,Managed Windows Laptop,Chennai,True,0
SAAS-00248,2025-06-02T08:28:24,user_042,Salesforce,CRM,43,11.17,Managed Windows Laptop,Hyderabad,True,0
SAAS-01175,2025-06-02T08:32:55,user_046,OneDrive,Storage,40,17.64,Managed Windows Laptop,Hyderabad,True,0
SAAS-00245,2025-06-02T08:41:50,user_039,Microsoft 365,Productivity,53,602.05,Managed macOS Laptop,Pune,True,1
SAAS-01011,2025-06-02T08:43:09,user_009,Dropbox,Storage,52,9.99,Managed macOS Laptop,Bengaluru,False,1
SAAS-00311,2025-06-02T08:46:43,user_013,Salesforce,CRM,53,4.74,Managed macOS Laptop,Bengaluru,True,0
SAAS-00999,2025-06-02T08:53:10,user_031,Salesforce,CRM,85,7.9,Managed macOS Laptop,Pune,True,0
SAAS-01139,2025-06-02T09:15:52,user_009,Jira,Project Management,45,13.11,Managed macOS Laptop,Bengaluru,True,0
SAAS-00919,2025-06-02T09:20:27,user_025,OneDrive,Storage,34,6.26,Managed macOS Laptop,Bengaluru,True,0
SAAS-00046,2025-06-02T09:25:23,user_023,Notion,Productivity,78,7.81,Managed macOS Laptop,Pune,False,1
SAAS-01155,2025-06-02T09:37:55,user_050,GitHub,Development,59,9.44,Managed Windows Laptop,Hyderabad,True,0
SAAS-00848,2025-06-02T09:47:08,user_042,Zoom,Communication,73,623.71,Managed Windows Laptop,Hyderabad,True,1
SAAS-00363,2025-06-02T09:52:44,user_034,Slack,Collaboration,53,7.71,Managed Windows Laptop,Hyderabad,True,0
SAAS-00350,2025-06-02T10:05:19,user_046,OneDrive,Storage,55,12.25,Managed Windows Laptop,Hyderabad,True,0
SAAS-00485,2025-06-02T10:26:20,user_031,Zoom,Communication,53,232.59,Managed macOS Laptop,Pune,True,1
SAAS-00530,2025-06-02T10:58:15,user_006,Slack,Collaboration,68,6.99,Managed Windows Laptop,Hyderabad,True,0
SAAS-00054,2025-06-02T11:00:00,user_027,GitHub,Development,390,9.65,Managed macOS Laptop,Pune,True,1
SAAS-00035,2025-06-02T11:27:47,user_019,Microsoft 365,Productivity,81,7.05,Managed macOS Laptop,Pune,True,0
SAAS-00357,2025-06-02T12:00:18,user_004,Dropbox,Storage,62,25.54,Managed Windows Laptop,Chennai,False,1
SAAS-01146,2025-06-02T12:18:33,user_041,Notion,Productivity,58,6.71,Managed macOS Laptop,Bengaluru,False,1
SAAS-00204,2025-06-02T12:28:15,user_038,Salesforce,CRM,54,8.57,Managed Windows Laptop,Hyderabad,True,0
SAAS-00518,2025-06-02T12:30:28,user_040,Microsoft 365,Productivity,53,9.87,Managed Windows Laptop,Chennai,True,0
SAAS-00304,2025-06-02T12:35:36,user_034,Salesforce,CRM,23,14.54,Managed Windows Laptop,Hyderabad,True,0
SAAS-01066,2025-06-02T12:50:29,user_021,OneDrive,Storage,74,8.68,Managed macOS Laptop,Bengaluru,True,0
SAAS-00345,2025-06-02T12:54:24,user_016,Dropbox,Storage,33,28.82,Managed Windows Laptop,Chennai,False,1
SAAS-00179,2025-06-02T13:17:27,user_045,Notion,Productivity,47,12.72,Managed macOS Laptop,Bengaluru,False,1
SAAS-00841,2025-06-02T13:25:29,user_049,OneDrive,Storage,66,11.57,Managed macOS Laptop,Bengaluru,True,0
SAAS-00213,2025-06-02T14:02:06,user_010,Salesforce,CRM,93,8.82,Managed Windows Laptop,Hyderabad,True,0
SAAS-00492,2025-06-02T14:12:14,user_030,Zoom,Communication,12,3.05,Managed Windows Laptop,Hyderabad,True,0
SAAS-01169,2025-06-02T14:26:23,user_027,ChatGPT,AI Assistant,53,32.45,Managed macOS Laptop,Pune,False,1
SAAS-00738,2025-06-02T14:34:17,user_022,Salesforce,CRM,79,1.61,Managed Windows Laptop,Hyderabad,True,0
SAAS-00662,2025-06-02T14:42:32,user_028,Slack,Collaboration,24,11.98,Managed Windows Laptop,Chennai,True,0
SAAS-00883,2025-06-02T14:45:59,user_040,WeTransfer,File Transfer,65,16.33,Managed Windows Laptop,Chennai,False,1
SAAS-00611,2025-06-02T14:46:24,user_013,Trello,Project Management,43,4.84,Managed macOS Laptop,Bengaluru,False,1
SAAS-00787,2025-06-02T14:49:50,user_050,Trello,Project Management,57,12.73,Managed Windows Laptop,Hyderabad,False,1
SAAS-00267,2025-06-02T15:05:27,user_038,Zoom,Communication,69,8.16,Managed Windows Laptop,Hyderabad,True,0
SAAS-00466,2025-06-02T15:25:18,user_040,Google Workspace,Productivity,59,4.12,Managed Windows Laptop,Chennai,True,0
SAAS-00774,2025-06-02T15:42:40,user_041,Trello,Project Management,21,11.92,Managed macOS Laptop,Bengaluru,False,1
SAAS-00579,2025-06-02T15:58:40,user_002,Salesforce,CRM,36,12.19,Managed Windows Laptop,Hyderabad,True,0
SAAS-00444,2025-06-02T16:00:10,user_044,Microsoft 365,Productivity,44,1.36,Managed Windows Laptop,Chennai,True,0
SAAS-00470,2025-06-02T16:47:26,user_024,OneDrive,Storage,68,6.29,Managed Windows Laptop,Chennai,True,0
SAAS-00360,2025-06-02T16:54:27,user_007,GitHub,Development,34,3.53,Managed macOS Laptop,Pune,True,0
SAAS-01082,2025-06-02T17:31:23,user_032,Google Workspace,Productivity,68,10.35,Managed Windows Laptop,Chennai,True,0
SAAS-00916,2025-06-02T17:32:13,user_025,Salesforce,CRM,39,9.97,Managed macOS Laptop,Bengaluru,True,0
SAAS-00196,2025-06-02T18:06:45,user_031,Slack,Collaboration,405,7.78,Managed macOS Laptop,Pune,True,1
SAAS-00818,2025-06-02T18:08:39,user_028,Slack,Collaboration,60,7.79,Managed Windows Laptop,Chennai,True,0
SAAS-00768,2025-06-02T18:10:22,user_049,Jira,Project Management,32,6.35,Managed macOS Laptop,Bengaluru,True,0
SAAS-00280,2025-06-02T18:10:25,user_009,GitHub,Development,67,847.4,Managed macOS Laptop,Bengaluru,True,1
SAAS-00493,2025-06-02T18:28:59,user_007,Zoom,Communication,43,9.36,Managed macOS Laptop,Pune,True,0
SAAS-00616,2025-06-02T18:55:19,user_047,Zoom,Communication,54,3.77,Managed macOS Laptop,Pune,True,0
SAAS-00141,2025-06-03T08:01:07,user_004,OneDrive,Storage,38,4.93,Managed Windows Laptop,Chennai,True,0
SAAS-00368,2025-06-03T08:14:03,user_043,Zoom,Communication,45,2.85,Managed macOS Laptop,Pune,True,0
SAAS-00803,2025-06-03T08:25:40,user_041,Salesforce,CRM,31,8.29,Managed macOS Laptop,Bengaluru,True,0
SAAS-00858,2025-06-03T08:41:26,user_025,GitHub,Development,92,1.57,Managed macOS Laptop,Bengaluru,True,0
SAAS-00239,2025-06-03T08:50:35,user_017,Jira,Project Management,51,0.93,Managed macOS Laptop,Bengaluru,True,0
SAAS-00585,2025-06-03T09:33:39,user_044,GitHub,Development,54,15.12,Managed Windows Laptop,Chennai,True,0
SAAS-00437,2025-06-03T10:15:48,user_029,GitHub,Development,50,6.37,Managed macOS Laptop,Bengaluru,True,0
SAAS-01191,2025-06-03T10:16:00,user_042,Microsoft 365,Productivity,43,3.54,Managed Windows Laptop,Hyderabad,True,0
SAAS-00007,2025-06-03T10:27:09,user_027,Google Workspace,Productivity,73,4.35,Managed macOS Laptop,Pune,True,0
SAAS-00498,2025-06-03T11:43:53,user_029,OneDrive,Storage,41,3.05,Managed macOS Laptop,Bengaluru,True,0
SAAS-01106,2025-06-03T11:44:42,user_023,Gemini,AI Assistant,69,26.18,Managed macOS Laptop,Pune,False,1
SAAS-00370,2025-06-03T11:50:16,user_041,Notion,Productivity,70,6.86,Managed macOS Laptop,Bengaluru,False,1
SAAS-00728,2025-06-03T12:31:34,user_047,Google Workspace,Productivity,40,7.44,Managed macOS Laptop,Pune,True,0
SAAS-00601,2025-06-03T12:34:06,user_008,Google Workspace,Productivity,492,2.49,Managed Windows Laptop,Chennai,True,1
SAAS-00073,2025-06-03T12:48:30,user_010,Microsoft 365,Productivity,50,0.46,Managed Windows Laptop,Hyderabad,True,0
SAAS-00519,2025-06-03T12:59:14,user_040,Zoom,Communication,48,13.27,Managed Windows Laptop,Chennai,True,0
SAAS-00002,2025-06-03T13:45:35,user_035,DeepSeek,AI Assistant,42,20.66,Managed macOS Laptop,Pune,False,1
SAAS-00055,2025-06-03T13:49:28,user_042,OneDrive,Storage,50,12.36,Managed Windows Laptop,Hyderabad,True,0
SAAS-00380,2025-06-03T14:39:28,user_041,OneDrive,Storage,60,14.55,Managed macOS Laptop,Bengaluru,True,0
SAAS-00356,2025-06-03T15:02:16,user_035,Trello,Project Management,58,30.76,Managed macOS Laptop,Pune,False,1
SAAS-01065,2025-06-03T15:08:59,user_037,Zoom,Communication,76,3.68,Managed macOS Laptop,Bengaluru,True,0
SAAS-00527,2025-06-03T15:12:04,user_026,OneDrive,Storage,11,16.84,Managed Windows Laptop,Hyderabad,True,0
SAAS-00390,2025-06-03T15:30:27,user_027,Google Workspace,Productivity,40,15.07,Managed macOS Laptop,Pune,True,0
SAAS-00172,2025-06-03T15:43:11,user_021,Jira,Project Management,75,7.17,Managed macOS Laptop,Bengaluru,True,0
SAAS-00990,2025-06-03T16:01:59,user_011,Salesforce,CRM,65,10.77,Managed macOS Laptop,Pune,True,0
SAAS-00896,2025-06-03T16:09:08,user_037,OneDrive,Storage,29,9.78,Managed macOS Laptop,Bengaluru,True,0
SAAS-00619,2025-06-03T16:16:46,user_001,Zoom,Communication,42,17.1,Managed macOS Laptop,Bengaluru,True,0
SAAS-00202,2025-06-03T16:16:58,user_039,Slack,Collaboration,63,13.64,Managed macOS Laptop,Pune,True,0
SAAS-00452,2025-06-03T16:32:56,user_029,Jira,Project Management,50,1.95,Managed macOS Laptop,Bengaluru,True,0
SAAS-00700,2025-06-03T16:33:04,user_030,GitHub,Development,43,4.37,Managed Windows Laptop,Hyderabad,True,0
SAAS-00460,2025-06-03T16:45:06,user_041,Salesforce,CRM,31,16.9,Managed macOS Laptop,Bengaluru,True,0
SAAS-00765,2025-06-03T16:45:19,user_010,Notion,Productivity,69,6.49,Managed Windows Laptop,Hyderabad,False,1
SAAS-00183,2025-06-03T16:50:56,user_037,Microsoft 365,Productivity,59,14.08,Managed macOS Laptop,Bengaluru,True,0
SAAS-00012,2025-06-03T17:00:46,user_002,OneDrive,Storage,52,23.2,Managed Windows Laptop,Hyderabad,True,0
SAAS-00192,2025-06-03T17:03:34,user_033,Slack,Collaboration,63,8.04,Managed macOS Laptop,Bengaluru,True,0
SAAS-00762,2025-06-03T17:03:57,user_046,Microsoft 365,Productivity,58,13.26,Managed Windows Laptop,Hyderabad,True,0
SAAS-00211,2025-06-03T17:06:35,user_025,OneDrive,Storage,41,4.58,Managed macOS Laptop,Bengaluru,True,0
SAAS-00167,2025-06-03T17:28:37,user_031,Microsoft 365,Productivity,16,6.1,Managed macOS Laptop,Pune,True,0
SAAS-00570,2025-06-03T17:55:16,user_045,Notion,Productivity,52,12.26,Managed macOS Laptop,Bengaluru,False,1
SAAS-00749,2025-06-03T17:58:36,user_008,Zoom,Communication,42,3.27,Managed Windows Laptop,Chennai,True,0
SAAS-00592,2025-06-03T18:09:51,user_036,Microsoft 365,Productivity,68,3.2,Managed Windows Laptop,Chennai,True,0
SAAS-00005,2025-06-03T18:36:58,user_039,OneDrive,Storage,33,2.94,Managed macOS Laptop,Pune,True,0
SAAS-00484,2025-06-03T18:39:31,user_005,Google Workspace,Productivity,30,7.0,Managed macOS Laptop,Bengaluru,True,0
SAAS-00786,2025-06-03T18:47:40,user_024,Jira,Project Management,27,6.22,Managed Windows Laptop,Chennai,True,0
SAAS-00911,2025-06-04T04:47:57,user_038,Jira,Project Management,44,7.1,Managed Windows Laptop,Hyderabad,True,1
SAAS-00756,2025-06-04T04:53:21,user_046,Salesforce,CRM,42,11.32,Managed Windows Laptop,Hyderabad,True,1
SAAS-00488,2025-06-04T08:02:35,user_038,ChatGPT,AI Assistant,35,14.47,Managed Windows Laptop,Hyderabad,False,1
SAAS-01044,2025-06-04T08:11:56,user_024,Google Workspace,Productivity,41,6.04,Managed Windows Laptop,Chennai,True,0
SAAS-00994,2025-06-04T08:21:06,user_042,Slack,Collaboration,28,3.58,Managed Windows Laptop,Hyderabad,True,0
SAAS-00824,2025-06-04T08:36:07,user_013,Microsoft 365,Productivity,67,1.3,Managed macOS Laptop,Bengaluru,True,0
SAAS-00725,2025-06-04T08:38:41,user_022,Google Workspace,Productivity,35,12.71,Managed Windows Laptop,Hyderabad,True,0
SAAS-00290,2025-06-04T08:51:57,user_033,Notion,Productivity,54,4.7,Managed macOS Laptop,Bengaluru,False,1
SAAS-01055,2025-06-04T09:03:26,user_004,Slack,Collaboration,50,7.09,Managed Windows Laptop,Chennai,True,0
SAAS-00525,2025-06-04T09:04:56,user_025,OneDrive,Storage,64,1.38,Managed macOS Laptop,Bengaluru,True,0
SAAS-00244,2025-06-04T09:11:45,user_012,GitHub,Development,83,5.69,Managed Windows Laptop,Chennai,True,0
SAAS-00563,2025-06-04T09:14:17,user_010,Salesforce,CRM,73,10.35,Managed Windows Laptop,Hyderabad,True,0
SAAS-00372,2025-06-04T09:31:21,user_010,Google Workspace,Productivity,42,7.19,Managed Windows Laptop,Hyderabad,True,0
SAAS-00683,2025-06-04T09:40:07,user_035,Jira,Project Management,89,6.05,Managed macOS Laptop,Pune,True,0
SAAS-00489,2025-06-04T09:41:59,user_020,Dropbox,Storage,33,2.43,Managed Windows Laptop,Chennai,False,1
SAAS-00269,2025-06-04T09:55:22,user_028,OneDrive,Storage,22,23.33,Managed Windows Laptop,Chennai,True,0
SAAS-01058,2025-06-04T10:41:50,user_041,Slack,Collaboration,65,13.61,Managed macOS Laptop,Bengaluru,True,0
SAAS-00397,2025-06-04T10:52:08,user_027,Zoom,Communication,74,13.25,Managed macOS Laptop,Pune,True,0
SAAS-00001,2025-06-04T11:09:18,user_020,GitHub,Development,20,11.73,Managed Windows Laptop,Chennai,True,0
SAAS-00922,2025-06-04T11:25:01,user_019,Microsoft 365,Productivity,46,6.6,Managed macOS Laptop,Pune,True,0
SAAS-01012,2025-06-04T11:34:51,user_040,OneDrive,Storage,76,8.53,Managed Windows Laptop,Chennai,True,0
SAAS-00115,2025-06-04T11:40:59,user_009,GitHub,Development,38,4.51,Managed macOS Laptop,Bengaluru,True,0
SAAS-00138,2025-06-04T12:03:38,user_006,Zoom,Communication,73,6.61,Managed Windows Laptop,Hyderabad,True,0
SAAS-00504,2025-06-04T12:25:48,user_016,OneDrive,Storage,37,3.09,Managed Windows Laptop,Chennai,True,0
SAAS-00036,2025-06-04T12:27:59,user_031,Microsoft 365,Productivity,38,8.78,Managed macOS Laptop,Pune,True,0
SAAS-00554,2025-06-04T12:30:05,user_015,OneDrive,Storage,35,9.84,Managed macOS Laptop,Pune,True,0
SAAS-01028,2025-06-04T13:02:29,user_028,GitHub,Development,58,5.42,Managed Windows Laptop,Chennai,True,0
SAAS-01124,2025-06-04T13:28:11,user_003,Slack,Collaboration,70,2.48,Managed macOS Laptop,Pune,True,0
SAAS-00523,2025-06-04T14:20:36,user_036,Notion,Productivity,70,7.9,Managed Windows Laptop,Chennai,False,1
SAAS-00861,2025-06-04T14:35:22,user_031,Slack,Collaboration,33,21.26,Managed macOS Laptop,Pune,True,0
SAAS-00476,2025-06-04T14:59:38,user_024,GitHub,Development,55,22.04,Managed Windows Laptop,Chennai,True,0
SAAS-01053,2025-06-04T15:00:18,user_027,DeepSeek,AI Assistant,47,25.49,Managed macOS Laptop,Pune,False,1
SAAS-01067,2025-06-04T15:00:41,user_026,Slack,Collaboration,35,12.46,Managed Windows Laptop,Hyderabad,True,0
SAAS-00851,2025-06-04T15:03:27,user_006,Zoom,Communication,647,18.55,Managed Windows Laptop,Hyderabad,True,1
SAAS-00603,2025-06-04T15:04:47,user_008,Zoom,Communication,38,10.18,Managed Windows Laptop,Chennai,True,0
SAAS-00164,2025-06-04T15:11:35,user_041,Jira,Project Management,35,1.27,Managed macOS Laptop,Bengaluru,True,0
SAAS-00767,2025-06-04T15:45:53,user_030,OneDrive,Storage,49,21.03,Managed Windows Laptop,Hyderabad,True,0
SAAS-00813,2025-06-04T15:52:07,user_038,Jira,Project Management,82,9.66,Managed Windows Laptop,Hyderabad,True,0
SAAS-00048,2025-06-04T16:05:20,user_019,ChatGPT,AI Assistant,73,34.71,Managed macOS Laptop,Pune,False,1
SAAS-00326,2025-06-04T16:59:10,user_042,Google Workspace,Productivity,560,9.26,Managed Windows Laptop,Hyderabad,True,1
SAAS-01035,2025-06-04T17:00:25,user_047,Jira,Project Management,85,4.18,Managed macOS Laptop,Pune,True,0
SAAS-01056,2025-06-04T17:24:58,user_034,Jira,Project Management,52,11.96,Managed Windows Laptop,Hyderabad,True,0
SAAS-00524,2025-06-04T17:41:20,user_037,GitHub,Development,47,12.4,Managed macOS Laptop,Bengaluru,True,0
SAAS-00600,2025-06-04T18:34:27,user_007,Microsoft 365,Productivity,42,9.6,Managed macOS Laptop,Pune,True,0
SAAS-00686,2025-06-04T18:45:54,user_044,Google Workspace,Productivity,63,2.28,Managed Windows Laptop,Chennai,True,0
SAAS-00085,2025-06-04T18:47:18,user_042,Jira,Project Management,58,9.17,Managed Windows Laptop,Hyderabad,True,0
SAAS-00331,2025-06-05T04:49:16,user_047,Salesforce,CRM,46,23.27,Managed macOS Laptop,Pune,True,1
SAAS-00722,2025-06-05T08:07:22,user_005,DeepSeek,AI Assistant,68,13.12,Managed macOS Laptop,Bengaluru,False,1
SAAS-00790,2025-06-05T08:09:06,user_010,Dropbox,Storage,75,12.48,Managed Windows Laptop,Hyderabad,False,1
SAAS-00509,2025-06-05T08:40:10,user_002,Salesforce,CRM,73,6.2,Managed Windows Laptop,Hyderabad,True,0
SAAS-00014,2025-06-05T09:22:33,user_042,Gemini,AI Assistant,34,32.51,Managed Windows Laptop,Hyderabad,False,1
SAAS-00457,2025-06-05T09:59:28,user_018,Google Workspace,Productivity,90,3.08,Managed Windows Laptop,Hyderabad,True,0
SAAS-00113,2025-06-05T10:11:44,user_047,Google Workspace,Productivity,44,5.64,Managed macOS Laptop,Pune,True,0
SAAS-00510,2025-06-05T10:12:19,user_022,Google Workspace,Productivity,59,27.6,Managed Windows Laptop,Hyderabad,True,0
SAAS-01177,2025-06-05T10:17:41,user_036,Salesforce,CRM,36,11.8,Managed Windows Laptop,Chennai,True,0
SAAS-00421,2025-06-05T10:18:20,user_030,WeTransfer,File Transfer,68,8.04,Managed Windows Laptop,Hyderabad,False,1
SAAS-00879,2025-06-05T10:41:30,user_043,Microsoft 365,Productivity,37,7.88,Managed macOS Laptop,Pune,True,0
SAAS-00406,2025-06-05T11:01:40,user_006,OneDrive,Storage,57,6.16,Managed Windows Laptop,Hyderabad,True,0
SAAS-00482,2025-06-05T11:24:31,user_028,Gemini,AI Assistant,70,31.01,Managed Windows Laptop,Chennai,False,1
SAAS-00983,2025-06-05T11:26:08,user_050,Salesforce,CRM,58,18.44,Managed Windows Laptop,Hyderabad,True,0
SAAS-01034,2025-06-05T11:35:59,user_050,Salesforce,CRM,37,5.16,Managed Windows Laptop,Hyderabad,True,0
SAAS-00973,2025-06-05T12:19:19,user_050,Dropbox,Storage,51,6.75,Managed Windows Laptop,Hyderabad,False,1
SAAS-00671,2025-06-05T12:36:45,user_009,DeepSeek,AI Assistant,44,23.04,Managed macOS Laptop,Bengaluru,False,1
SAAS-00451,2025-06-05T12:43:49,user_034,GitHub,Development,59,2.26,Managed Windows Laptop,Hyderabad,True,0
SAAS-00812,2025-06-05T12:49:30,user_001,OneDrive,Storage,75,15.52,Managed macOS Laptop,Bengaluru,True,0
SAAS-00143,2025-06-05T13:04:10,user_036,Slack,Collaboration,40,8.09,Managed Windows Laptop,Chennai,True,0
SAAS-00704,2025-06-05T13:08:55,user_017,Slack,Collaboration,38,2.67,Managed macOS Laptop,Bengaluru,True,0
SAAS-00342,2025-06-05T13:18:38,user_011,OneDrive,Storage,44,28.4,Managed macOS Laptop,Pune,True,0
SAAS-00321,2025-06-05T13:32:09,user_003,GitHub,Development,630,6.65,Managed macOS Laptop,Pune,True,1
SAAS-00162,2025-06-05T13:36:13,user_004,Microsoft 365,Productivity,35,18.15,Managed Windows Laptop,Chennai,True,0
SAAS-01013,2025-06-05T13:38:37,user_010,GitHub,Development,48,2.11,Managed Windows Laptop,Hyderabad,True,0
SAAS-00066,2025-06-05T13:43:58,user_017,Slack,Collaboration,69,5.28,Managed macOS Laptop,Bengaluru,True,0
SAAS-00090,2025-06-05T14:21:54,user_008,Google Workspace,Productivity,66,7.42,Managed Windows Laptop,Chennai,True,0
SAAS-00996,2025-06-05T14:39:21,user_014,Slack,Collaboration,57,4.4,Managed Windows Laptop,Hyderabad,True,0
SAAS-00076,2025-06-05T14:40:06,user_035,Salesforce,CRM,26,8.79,Managed macOS Laptop,Pune,True,0
SAAS-00750,2025-06-05T14:55:00,user_028,Notion,Productivity,45,12.62,Managed Windows Laptop,Chennai,False,1
SAAS-00231,2025-06-05T15:04:31,user_044,Slack,Collaboration,47,15.81,Managed Windows Laptop,Chennai,True,0
SAAS-01188,2025-06-05T15:35:31,user_038,Salesforce,CRM,40,16.87,Managed Windows Laptop,Hyderabad,True,0
SAAS-01043,2025-06-05T16:22:17,user_002,Salesforce,CRM,45,6.84,Managed Windows Laptop,Hyderabad,True,0
SAAS-00953,2025-06-05T16:35:25,user_031,Gemini,AI Assistant,52,32.36,Managed macOS Laptop,Pune,False,1
SAAS-00124,2025-06-05T16:38:26,user_048,Microsoft 365,Productivity,76,8.57,Managed Windows Laptop,Chennai,True,0
SAAS-00531,2025-06-05T17:13:33,user_035,DeepSeek,AI Assistant,73,12.67,Managed macOS Laptop,Pune,False,1
SAAS-00221,2025-06-05T17:45:38,user_036,Google Workspace,Productivity,647,2.99,Managed Windows Laptop,Chennai,True,1
SAAS-00694,2025-06-05T17:53:50,user_022,Zoom,Communication,46,15.05,Managed Windows Laptop,Hyderabad,True,0
SAAS-00340,2025-06-05T18:07:42,user_020,Google Workspace,Productivity,91,7.29,Managed Windows Laptop,Chennai,True,0
SAAS-01163,2025-06-05T18:17:21,user_002,OneDrive,Storage,74,14.4,Managed Windows Laptop,Hyderabad,True,0
SAAS-00354,2025-06-05T18:19:48,user_008,Jira,Project Management,80,14.34,Managed Windows Laptop,Chennai,True,0
SAAS-00741,2025-06-05T18:55:45,user_034,ChatGPT,AI Assistant,38,31.38,Managed Windows Laptop,Hyderabad,False,1
SAAS-00094,2025-06-06T00:30:56,user_034,OneDrive,Storage,39,1.62,Managed Windows Laptop,Hyderabad,True,1
SAAS-00151,2025-06-06T04:25:21,user_026,OneDrive,Storage,73,1.58,Managed Windows Laptop,Hyderabad,True,1
SAAS-00613,2025-06-06T08:13:27,user_035,Salesforce,CRM,45,12.65,Managed macOS Laptop,Pune,True,0
SAAS-00464,2025-06-06T08:18:30,user_039,Slack,Collaboration,63,10.24,Managed macOS Laptop,Pune,True,0
SAAS-00190,2025-06-06T08:24:23,user_036,Slack,Collaboration,68,5.21,Managed Windows Laptop,Chennai,True,0
