incident_id,user_id,events,risk_score,risk_level,reason
INC-0011,user_002,"[{""event_id"": ""SAAS-00070"", ""timestamp"": ""2025-06-14T12:00:34"", ""alert_type"": ""Large Data Upload"", ""severity"": ""High"", ""source_ip"": null, ""resource"": null}]",20,Low,1 related alerts from 2025-06-14 12:00 to 2025-06-14 12:00; indicators: Large Data Upload (+20).
INC-0012,user_002,"[{""event_id"": ""CLOUD-00829"", ""timestamp"": ""2025-06-15T14:19:25"", ""alert_type"": ""Unknown IP"", ""severity"": ""Medium"", ""source_ip"": ""185.220.193.114"", ""resource"": ""aws:console""}]",20,Low,1 related alerts from 2025-06-15 14:19 to 2025-06-15 14:19; indicators: Unknown IP (+20). External IP context: 185.220.193.114. Resource context: aws:console.
INC-0013,user_002,"[{""event_id"": ""SAAS-00711"", ""timestamp"": ""2025-06-17T09:29:59"", ""alert_type"": ""Shadow AI"", ""severity"": ""High"", ""source_ip"": null, ""resource"": null}]",30,Low,1 related alerts from 2025-06-17 09:29 to 2025-06-17 09:29; indicators: Shadow AI (+30).
INC-0014,user_002,"[{""event_id"": ""CLOUD-00876"", ""timestamp"": ""2025-06-20T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.2.30"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00876"", ""timestamp"": ""2025-06-20T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.2.30"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00576"", ""timestamp"": ""2025-06-20T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.2.199"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00576"", ""timestamp"": ""2025-06-20T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.2.199"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00656"", ""timestamp"": ""2025-06-20T14:02:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.2.197"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00656"", ""timestamp"": ""2025-06-20T14:02:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.2.197"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00836"", ""timestamp"": ""2025-06-20T14:02:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.2.160"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00836"", ""timestamp"": ""2025-06-20T14:02:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.2.160"", ""resource"": ""s3://customer-exports""}]",25,Low,"8 related alerts from 2025-06-20 14:00 to 2025-06-20 14:02; indicators: Unusual Resource Access (+15), Abnormal API Activity (+10). Resource context: s3://customer-exports."
INC-0015,user_002,"[{""event_id"": ""CLOUD-01141"", ""timestamp"": ""2025-06-21T14:01:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.2.92"", ""resource"": ""s3://customer-exports""}]",15,Low,1 related alerts from 2025-06-21 14:01 to 2025-06-21 14:01; indicators: Unusual Resource Access (+15). Resource context: s3://customer-exports.
INC-0016,user_002,"[{""event_id"": ""CLOUD-00966"", ""timestamp"": ""2025-06-22T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.2.211"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00966"", ""timestamp"": ""2025-06-22T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.2.211"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00186"", ""timestamp"": ""2025-06-22T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.2.98"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00186"", ""timestamp"": ""2025-06-22T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.2.98"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00626"", ""timestamp"": ""2025-06-22T14:02:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.2.44"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00626"", ""timestamp"": ""2025-06-22T14:02:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.2.44"", ""resource"": ""s3://customer-exports""}]",25,Low,"6 related alerts from 2025-06-22 14:00 to 2025-06-22 14:02; indicators: Unusual Resource Access (+15), Abnormal API Activity (+10). Resource context: s3://customer-exports."
INC-0017,user_002,"[{""event_id"": ""CLOUD-00891"", ""timestamp"": ""2025-06-23T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.2.68"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00891"", ""timestamp"": ""2025-06-23T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.2.68"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01131"", ""timestamp"": ""2025-06-23T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.2.79"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01131"", ""timestamp"": ""2025-06-23T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.2.79"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01191"", ""timestamp"": ""2025-06-23T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.2.87"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01191"", ""timestamp"": ""2025-06-23T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.2.87"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00131"", ""timestamp"": ""2025-06-23T14:02:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.2.82"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00011"", ""timestamp"": ""2025-06-23T14:02:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.2.122"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00011"", ""timestamp"": ""2025-06-23T14:02:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.2.122"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00131"", ""timestamp"": ""2025-06-23T14:02:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.2.82"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00147"", ""timestamp"": ""2025-06-23T15:14:01"", ""alert_type"": ""Unknown IP"", ""severity"": ""Medium"", ""source_ip"": ""185.220.51.140"", ""resource"": ""aws:console""}]",45,Medium,"11 related alerts from 2025-06-23 14:00 to 2025-06-23 15:14; indicators: Unusual Resource Access (+15), Abnormal API Activity (+10), Unknown IP (+20). External IP context: 185.220.51.140. Resource context: s3://customer-exports, aws:console."
INC-0018,user_003,"[{""event_id"": ""CLOUD-00703"", ""timestamp"": ""2025-06-02T16:13:42"", ""alert_type"": ""Create Access Key"", ""severity"": ""High"", ""source_ip"": ""10.10.3.88"", ""resource"": ""iam:access-key""}]",25,Low,1 related alerts from 2025-06-02 16:13 to 2025-06-02 16:13; indicators: Create Access Key (+25). Resource context: iam:access-key.
INC-0019,user_003,"[{""event_id"": ""CLOUD-00277"", ""timestamp"": ""2025-06-09T01:06:22"", ""alert_type"": ""Unusual Access Time"", ""severity"": ""Medium"", ""source_ip"": ""185.220.83.201"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00277"", ""timestamp"": ""2025-06-09T01:06:22"", ""alert_type"": ""Unknown IP"", ""severity"": ""Medium"", ""source_ip"": ""185.220.83.201"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00277"", ""timestamp"": ""2025-06-09T01:06:22"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""185.220.83.201"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""SAAS-00751"", ""timestamp"": ""2025-06-09T10:25:43"", ""alert_type"": ""Large Data Upload"", ""severity"": ""High"", ""source_ip"": null, ""resource"": null}, {""event_id"": ""CLOUD-00995"", ""timestamp"": ""2025-06-09T17:08:28"", ""alert_type"": ""Unknown IP"", ""severity"": ""Medium"", ""source_ip"": ""185.220.33.11"", ""resource"": ""aws:console""}, {""event_id"": ""CLOUD-01074"", ""timestamp"": ""2025-06-10T03:09:48"", ""alert_type"": ""Unusual Access Time"", ""severity"": ""Medium"", ""source_ip"": ""185.220.242.100"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01074"", ""timestamp"": ""2025-06-10T03:09:48"", ""alert_type"": ""Unknown IP"", ""severity"": ""Medium"", ""source_ip"": ""185.220.242.100"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-01074"", ""timestamp"": ""2025-06-10T03:09:48"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""185.220.242.100"", ""resource"": ""s3://customer-exports""}]",65,High,"8 related alerts from 2025-06-09 01:06 to 2025-06-10 03:09; indicators: Unusual Access Time (+10), Unknown IP (+20), Unusual Resource Access (+15), Large Data Upload (+20). External IP context: 185.220.83.201, 185.220.33.11, 185.220.242.100. Resource context: s3://customer-exports, aws:console."
INC-0020,user_003,"[{""event_id"": ""CLOUD-01248"", ""timestamp"": ""2025-06-10T17:24:17"", ""alert_type"": ""Unknown IP"", ""severity"": ""Medium"", ""source_ip"": ""185.220.220.29"", ""resource"": ""aws:console""}]",20,Low,1 related alerts from 2025-06-10 17:24 to 2025-06-10 17:24; indicators: Unknown IP (+20). External IP context: 185.220.220.29. Resource context: aws:console.
INC-0021,user_003,"[{""event_id"": ""CLOUD-01099"", ""timestamp"": ""2025-06-11T18:11:40"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.3.92"", ""resource"": ""s3://customer-exports""}]",15,Low,1 related alerts from 2025-06-11 18:11 to 2025-06-11 18:11; indicators: Unusual Resource Access (+15). Resource context: s3://customer-exports.
INC-0022,user_003,"[{""event_id"": ""CLOUD-00432"", ""timestamp"": ""2025-06-20T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.3.183"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00432"", ""timestamp"": ""2025-06-20T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.3.183"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00532"", ""timestamp"": ""2025-06-20T14:01:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.3.21"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00532"", ""timestamp"": ""2025-06-20T14:01:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.3.21"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00092"", ""timestamp"": ""2025-06-20T14:02:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.3.80"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00092"", ""timestamp"": ""2025-06-20T14:02:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.3.80"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00692"", ""timestamp"": ""2025-06-20T14:02:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.3.104"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00692"", ""timestamp"": ""2025-06-20T14:02:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.3.104"", ""resource"": ""s3://customer-exports""}]",25,Low,"8 related alerts from 2025-06-20 14:00 to 2025-06-20 14:02; indicators: Abnormal API Activity (+10), Unusual Resource Access (+15). Resource context: s3://customer-exports."
INC-0023,user_003,"[{""event_id"": ""CLOUD-00393"", ""timestamp"": ""2025-06-22T13:11:20"", ""alert_type"": ""Create Access Key"", ""severity"": ""High"", ""source_ip"": ""10.10.3.35"", ""resource"": ""iam:access-key""}, {""event_id"": ""CLOUD-00042"", ""timestamp"": ""2025-06-22T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.3.117"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00042"", ""timestamp"": ""2025-06-22T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.3.117"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00522"", ""timestamp"": ""2025-06-22T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.3.101"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00522"", ""timestamp"": ""2025-06-22T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.3.101"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00582"", ""timestamp"": ""2025-06-22T14:00:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.3.199"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00582"", ""timestamp"": ""2025-06-22T14:00:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.3.199"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00142"", ""timestamp"": ""2025-06-22T14:01:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.3.54"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00142"", ""timestamp"": ""2025-06-22T14:01:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.3.54"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00542"", ""timestamp"": ""2025-06-22T14:02:00"", ""alert_type"": ""Abnormal API Activity"", ""severity"": ""Medium"", ""source_ip"": ""10.10.3.63"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""CLOUD-00542"", ""timestamp"": ""2025-06-22T14:02:00"", ""alert_type"": ""Unusual Resource Access"", ""severity"": ""High"", ""source_ip"": ""10.10.3.63"", ""resource"": ""s3://customer-exports""}, {""event_id"": ""SAAS-00126"", ""timestamp"": ""2025-06-22T14:07:07"", ""alert_type"": ""Large Data Upload"", ""severity"": ""High"", ""source_ip"": null, ""resource"": null}]",70,High,"12 related alerts from 2025-06-22 13:11 to 2025-06-22 14:07; indicators: Create Access Key (+25), Unusual Resource Access (+15), Abnormal API Activity (+10), Large Data Upload (+20). Resource context: iam:access-key, s3://customer-exports."
