event_id,user_id,timestamp,alert_type,severity,reason
SAAS-01072,user_027,2025-06-08T09:47:56,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-00025,user_024,2025-06-08T09:49:05,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-01147,user_015,2025-06-08T11:17:40,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-00954,user_014,2025-06-09T08:58:42,Shadow AI,High,Unauthorized AI SaaS application: ChatGPT
SAAS-00020,user_047,2025-06-09T12:43:43,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-00393,user_025,2025-06-10T11:35:51,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-00210,user_007,2025-06-10T15:29:26,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-01078,user_022,2025-06-11T11:39:00,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-01046,user_029,2025-06-11T12:59:31,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-00252,user_002,2025-06-11T13:15:22,Shadow AI,High,Unauthorized AI SaaS application: ChatGPT
SAAS-00295,user_005,2025-06-11T13:46:10,Shadow AI,High,Unauthorized AI SaaS application: ChatGPT
SAAS-00203,user_021,2025-06-11T17:25:02,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-00837,user_050,2025-06-12T10:59:31,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-00197,user_046,2025-06-12T12:58:20,Shadow AI,High,Unauthorized AI SaaS application: ChatGPT
SAAS-01181,user_042,2025-06-12T17:01:09,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-01200,user_026,2025-06-13T12:03:16,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-00826,user_028,2025-06-13T17:58:14,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-01123,user_043,2025-06-14T17:11:33,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-01042,user_041,2025-06-15T08:28:26,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-00058,user_013,2025-06-15T11:20:15,Shadow AI,High,Unauthorized AI SaaS application: ChatGPT
SAAS-01140,user_050,2025-06-15T11:27:13,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-01022,user_037,2025-06-16T10:19:07,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-00134,user_042,2025-06-16T14:29:28,Shadow AI,High,Unauthorized AI SaaS application: ChatGPT
SAAS-00711,user_002,2025-06-17T09:29:59,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-00975,user_007,2025-06-17T11:24:26,Shadow AI,High,Unauthorized AI SaaS application: ChatGPT
SAAS-00709,user_033,2025-06-17T11:25:39,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-00734,user_011,2025-06-18T09:28:11,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-00933,user_019,2025-06-18T10:33:30,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-00098,user_042,2025-06-18T10:51:46,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-00921,user_020,2025-06-18T16:24:50,Shadow AI,High,Unauthorized AI SaaS application: ChatGPT
SAAS-00286,user_030,2025-06-19T09:15:29,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-00677,user_050,2025-06-19T10:06:03,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-01052,user_024,2025-06-19T12:12:38,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-00802,user_014,2025-06-19T17:20:14,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-01176,user_004,2025-06-20T08:34:39,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-00602,user_035,2025-06-20T09:26:18,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-00748,user_028,2025-06-20T14:02:27,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-00684,user_045,2025-06-22T10:32:59,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-00705,user_031,2025-06-22T10:44:16,Shadow AI,High,Unauthorized AI SaaS application: ChatGPT
SAAS-00673,user_013,2025-06-23T14:34:02,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-00387,user_005,2025-06-23T14:36:12,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-00833,user_037,2025-06-23T16:45:48,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-00995,user_023,2025-06-24T12:23:41,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-00186,user_017,2025-06-24T13:19:00,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-00647,user_012,2025-06-25T13:14:04,Shadow AI,High,Unauthorized AI SaaS application: Gemini
SAAS-01162,user_012,2025-06-26T08:06:59,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
SAAS-00163,user_023,2025-06-26T09:00:32,Shadow AI,High,Unauthorized AI SaaS application: ChatGPT
SAAS-00503,user_013,2025-06-27T09:40:10,Shadow AI,High,Unauthorized AI SaaS application: Claude
SAAS-01071,user_040,2025-06-28T17:39:41,Shadow AI,High,Unauthorized AI SaaS application: DeepSeek
